ScenarioID,Query,,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the brown truck that turns left in camera 3 from 54 second to 236 second, and also appear at camera 4, 1",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the silver truck that turns right in camera 1 from 33 second to 134 second, and also appear at camera 2, 5, 3",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the yellow jeep that stop at traffic light in camera 5 from 27 second to 160 second, and also appear at camera 1, 2, 3",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the purple truck that turns left in camera 1 from 22 second to 147 second, and also appear at camera 3, 5",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the grey minivan that turns right in camera 3 from 24 second to 219 second, and also appear at camera 2, 1",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the purple minivan that turns right in camera 3 from 17 second to 167 second, and also appear at camera 4, 1",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the grey coupe that turns right in camera 4 from 50 second to 167 second, and also appear at camera 3",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the tan wagon that turns left in camera 1 from 29 second to 219 second, and also appear at camera 3, 2",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the green wagon that turns right in camera 3 from 18 second to 205 second, and also appear at camera 1, 4",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the gold truck that turns right in camera 4 from 48 second to 131 second, and also appear at camera 3, 5, 2",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the white wagon that stop at traffic light in camera 5 from 33 second to 158 second, and also appear at camera 2",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the grey wagon that goes straight in camera 2 from 43 second to 174 second, and also appear at camera 4",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the blue sedan that turns right in camera 4 from 17 second to 153 second, and also appear at camera 3, 5, 2",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the grey van that turns left in camera 2 from 18 second to 135 second, and also appear at camera 1, 4, 3",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the gray jeep that turns left in camera 4 from 26 second to 134 second, and also appear at camera 5",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the white van that turns left in camera 4 from 22 second to 191 second, and also appear at camera 1",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the brown minivan that goes straight in camera 5 from 16 second to 237 second, and also appear at camera 1, 2",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the silver coupe that goes straight in camera 3 from 37 second to 215 second, and also appear at camera 5, 4",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the white pickup that stop at traffic light in camera 3 from 37 second to 179 second, and also appear at camera 5, 1",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the tan sedan that turns right in camera 2 from 35 second to 173 second, and also appear at camera 5, 4",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the white wagon that turns right in camera 7 from 18 second to 172 second, and also appear at camera 9, 6, 8",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the blue wagon that stop at traffic light in camera 9 from 37 second to 212 second, and also appear at camera 7",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the gold wagon that turns left in camera 7 from 33 second to 188 second, and also appear at camera 6",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the green minivan that goes straight in camera 8 from 22 second to 212 second, and also appear at camera 7, 9",,,,,,,,,,,,,,,,,,,,,,,,
