ScenarioID,Queries,,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the purple sedan that moving from zone 2c to zone 2a in camera 2 from 43 second to 200 second, and also appear at camera 3, 4, 1",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the green van that moving from zone 5a to zone 5d in camera 5 from 50 second to 183 second, and also appear at camera 4, 3",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the yellow wagon that moving from zone 5c to zone 5e in camera 5 from 55 second to 190 second, and also appear at camera 3",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the green SUV that moving from zone 4a to zone 4b in camera 4 from 19 second to 185 second, and also appear at camera 3, 1",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the white SUV that moving from zone 3c to zone 3a in camera 3 from 37 second to 147 second, and also appear at camera 4, 1, 5",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the gold SUV that moving from zone 2d to zone 2c in camera 2 from 29 second to 169 second, and also appear at camera 1, 4, 3",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the black minivan that moving from zone 5e to zone 5d in camera 5 from 24 second to 174 second, and also appear at camera 1, 4",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the grey SUV that moving from zone 3d to zone 3a in camera 3 from 34 second to 162 second, and also appear at camera 1",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the brown sedan that moving from zone 5d to zone 5e in camera 5 from 30 second to 152 second, and also appear at camera 3, 2, 1",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the gold minivan that moving from zone 5e to zone 5b in camera 5 from 17 second to 140 second, and also appear at camera 3, 2",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the black pickup that moving from zone 1b to zone 1e in camera 1 from 20 second to 237 second, and also appear at camera 2, 5, 4",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the grey hatchback that moving from zone 3b to zone 3d in camera 3 from 25 second to 174 second, and also appear at camera 5",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the tan minivan that moving from zone 2c to zone 2b in camera 2 from 37 second to 186 second, and also appear at camera 5",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the blue sedan that moving from zone 2f to zone 2e in camera 2 from 53 second to 221 second, and also appear at camera 4, 3, 1",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the silver wagon that moving from zone 2a to zone 2c in camera 2 from 35 second to 136 second, and also appear at camera 5, 1",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the red hatchback that moving from zone 5c to zone 5d in camera 5 from 16 second to 194 second, and also appear at camera 1, 2",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the blue coupe that moving from zone 3c to zone 3d in camera 3 from 49 second to 188 second, and also appear at camera 2, 1",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the red truck that moving from zone 3b to zone 3c in camera 3 from 35 second to 232 second, and also appear at camera 4, 2",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the blue wagon that moving from zone 3b to zone 3c in camera 3 from 39 second to 148 second, and also appear at camera 1, 5, 2",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the green van that moving from zone 2b to zone 2f in camera 2 from 47 second to 240 second, and also appear at camera 1",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the maroon minivan that moving from zone 9c to zone 9d in camera 9 from 53 second to 149 second, and also appear at camera 8, 7, 6",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the purple van that moving from zone 8a to zone 8c in camera 8 from 47 second to 189 second, and also appear at camera 9, 7, 6",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the green SUV that moving from zone 6c to zone 6g in camera 6 from 49 second to 170 second, and also appear at camera 8, 9",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the blue sedan that moving from zone 6c to zone 6d in camera 6 from 31 second to 222 second, and also appear at camera 7",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the brown jeep that moving from zone 7b to zone 7c in camera 7 from 17 second to 213 second, and also appear at camera 8, 9, 6",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the gold van that moving from zone 9c to zone 9d in camera 9 from 44 second to 184 second, and also appear at camera 6",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the green hatchback that moving from zone 6d to zone 6f in camera 6 from 27 second to 221 second, and also appear at camera 8, 7, 9",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the blue truck that moving from zone 7b to zone 7e in camera 7 from 28 second to 190 second, and also appear at camera 9, 6, 8",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the black sedan that moving from zone 7b to zone 7e in camera 7 from 56 second to 163 second, and also appear at camera 9",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the purple pickup that moving from zone 7e to zone 7d in camera 7 from 19 second to 229 second, and also appear at camera 6",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the red wagon that moving from zone 9e to zone 9b in camera 9 from 32 second to 172 second, and also appear at camera 7",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the green van that moving from zone 8b to zone 8e in camera 8 from 15 second to 125 second, and also appear at camera 6",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the silver jeep that moving from zone 7d to zone 7e in camera 7 from 25 second to 178 second, and also appear at camera 8, 6",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the black wagon that moving from zone 6c to zone 6g in camera 6 from 30 second to 226 second, and also appear at camera 8",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the white SUV that moving from zone 9b to zone 9d in camera 9 from 34 second to 177 second, and also appear at camera 6, 8, 7",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the yellow hatchback that moving from zone 6d to zone 6f in camera 6 from 18 second to 184 second, and also appear at camera 8",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the green minivan that moving from zone 9a to zone 9b in camera 9 from 20 second to 192 second, and also appear at camera 8, 6, 7",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the green jeep that moving from zone 6c to zone 6e in camera 6 from 57 second to 139 second, and also appear at camera 8",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the grey truck that moving from zone 9a to zone 9b in camera 9 from 29 second to 240 second, and also appear at camera 8, 7",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the tan van that moving from zone 7c to zone 7a in camera 7 from 20 second to 129 second, and also appear at camera 9, 6, 8",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the maroon SUV that moving from zone 13a to zone 13d in camera 13 from 19 second to 153 second, and also appear at camera 10, 15",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the red hatchback that moving from zone 13a to zone 13b in camera 13 from 53 second to 146 second, and also appear at camera 12, 15, 11",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the gold SUV that moving from zone 14d to zone 14a in camera 14 from 56 second to 186 second, and also appear at camera 11, 12, 15",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the tan truck that moving from zone 13c to zone 13b in camera 13 from 32 second to 237 second, and also appear at camera 11, 10",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the gray hatchback that moving from zone 12a to zone 12b in camera 12 from 39 second to 142 second, and also appear at camera 14, 11, 15",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the purple wagon that moving from zone 12a to zone 12b in camera 12 from 49 second to 148 second, and also appear at camera 14",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the blue pickup that moving from zone 10c to zone 10a in camera 10 from 45 second to 191 second, and also appear at camera 14",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the white sedan that moving from zone 12a to zone 12b in camera 12 from 37 second to 228 second, and also appear at camera 14, 11",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the grey truck that moving from zone 14c to zone 14d in camera 14 from 58 second to 186 second, and also appear at camera 15",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the maroon SUV that moving from zone 11d to zone 11a in camera 11 from 29 second to 226 second, and also appear at camera 15",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the purple SUV that moving from zone 15c to zone 15b in camera 15 from 54 second to 223 second, and also appear at camera 12, 14",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the brown wagon that moving from zone 11c to zone 11b in camera 11 from 41 second to 121 second, and also appear at camera 15, 13, 10",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the gray van that moving from zone 14d to zone 14b in camera 14 from 56 second to 198 second, and also appear at camera 12, 10, 15",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the silver minivan that moving from zone 12b to zone 12a in camera 12 from 24 second to 142 second, and also appear at camera 15, 14",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the gold van that moving from zone 15c to zone 15a in camera 15 from 51 second to 141 second, and also appear at camera 11, 10",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the gray van that moving from zone 10a to zone 10c in camera 10 from 43 second to 221 second, and also appear at camera 12, 14, 11",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the maroon wagon that moving from zone 10c to zone 10b in camera 10 from 45 second to 202 second, and also appear at camera 14, 11, 15",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the maroon minivan that moving from zone 13d to zone 13a in camera 13 from 49 second to 144 second, and also appear at camera 11, 14, 12",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the yellow hatchback that moving from zone 10d to zone 10b in camera 10 from 33 second to 186 second, and also appear at camera 15",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the maroon minivan that moving from zone 13b to zone 13d in camera 13 from 51 second to 199 second, and also appear at camera 14, 12, 15",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 4,"Track all the brown sedan that moving from zone 32b to zone 32c in camera 32 from 42 second to 181 second, and also appear at camera 26, 40, 27",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 4,"Track all the yellow van that moving from zone 17c to zone 17d in camera 17 from 26 second to 148 second, and also appear at camera 31",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 4,"Track all the purple hatchback that moving from zone 27a to zone 27d in camera 27 from 44 second to 174 second, and also appear at camera 40",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 4,"Track all the tan sedan that moving from zone 20a to zone 20b in camera 20 from 23 second to 180 second, and also appear at camera 33, 30, 34",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 4,"Track all the red van that moving from zone 22c to zone 22a in camera 22 from 46 second to 155 second, and also appear at camera 17, 36",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 4,"Track all the blue pickup that moving from zone 27a to zone 27e in camera 27 from 44 second to 170 second, and also appear at camera 38, 35, 18",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 4,"Track all the yellow van that moving from zone 38c to zone 38a in camera 38 from 53 second to 146 second, and also appear at camera 17",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 4,"Track all the tan wagon that moving from zone 32c to zone 32b in camera 32 from 49 second to 219 second, and also appear at camera 23, 28, 19",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 4,"Track all the blue van that moving from zone 36a to zone 36c in camera 36 from 33 second to 203 second, and also appear at camera 20",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 4,"Track all the tan hatchback that moving from zone 38b to zone 38a in camera 38 from 60 second to 238 second, and also appear at camera 40, 22",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 4,"Track all the white van that moving from zone 26b to zone 26a in camera 26 from 41 second to 124 second, and also appear at camera 28, 25, 30",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 4,"Track all the green pickup that moving from zone 21a to zone 21b in camera 21 from 53 second to 178 second, and also appear at camera 19",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 4,"Track all the grey coupe that moving from zone 23b to zone 23a in camera 23 from 49 second to 184 second, and also appear at camera 29, 34",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 4,"Track all the black SUV that moving from zone 29b to zone 29d in camera 29 from 30 second to 178 second, and also appear at camera 34, 35, 32",,,,,,,,,,,,,,,,,,,,,,,,
