ScenarioID,Query,,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the brown SUV that appear in camera 3 from 54 second to 172 second, and also appear at camera 5",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the gold sedan that appear in camera 2 from 53 second to 125 second, and also appear at camera 1, 3, 5",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the grey minivan that appear in camera 2 from 41 second to 212 second, and also appear at camera 1, 3",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the gray sedan that appear in camera 5 from 41 second to 192 second, and also appear at camera 1, 3",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the red coupe that appear in camera 5 from 16 second to 197 second, and also appear at camera 2, 3",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the blue van that appear in camera 4 from 18 second to 147 second, and also appear at camera 1, 2, 3",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the maroon SUV that appear in camera 1 from 48 second to 156 second, and also appear at camera 3",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the gray pickup that appear in camera 4 from 58 second to 133 second, and also appear at camera 2, 5, 1",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the yellow sedan that appear in camera 1 from 18 second to 220 second, and also appear at camera 3",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the purple minivan that appear in camera 1 from 43 second to 157 second, and also appear at camera 2",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the grey minivan that appear in camera 2 from 57 second to 208 second, and also appear at camera 1",,,,,,,,,,,,,,,,,,,,,,,,
ScenarioID,Query,,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the white truck that moving from left to bottom in camera 3 from 21 second to 218 second, and also appear at camera 1, 2",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the grey van that moving from right to top in camera 2 from 56 second to 172 second, and also appear at camera 4",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the tan pickup that moving from top to left in camera 5 from 30 second to 136 second, and also appear at camera 4, 2",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the brown pickup that moving from top to left in camera 2 from 57 second to 185 second, and also appear at camera 4, 5, 3",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the tan pickup that moving from top to left in camera 1 from 35 second to 128 second, and also appear at camera 4",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the green pickup that moving from right to top in camera 3 from 58 second to 228 second, and also appear at camera 2",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the black coupe that moving from left to bottom in camera 4 from 54 second to 167 second, and also appear at camera 3",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the black van that moving from top to bottom in camera 1 from 52 second to 156 second, and also appear at camera 4, 5",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the grey SUV that moving from right to left in camera 1 from 23 second to 231 second, and also appear at camera 3, 5, 4",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the purple coupe that moving from bottom to top in camera 5 from 57 second to 228 second, and also appear at camera 2",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the silver sedan that moving from left to top in camera 1 from 37 second to 186 second, and also appear at camera 2",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the grey coupe that moving from left to right in camera 4 from 46 second to 147 second, and also appear at camera 5",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the grey SUV that moving from top to bottom in camera 5 from 15 second to 175 second, and also appear at camera 1, 2",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the gold truck that moving from bottom to top in camera 3 from 23 second to 194 second, and also appear at camera 1",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the red sedan that moving from bottom to top in camera 5 from 47 second to 130 second, and also appear at camera 3, 4",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the gray wagon that moving from right to left in camera 1 from 42 second to 164 second, and also appear at camera 4, 2",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the purple wagon that moving from right to left in camera 4 from 36 second to 190 second, and also appear at camera 5",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the gold pickup that moving from left to bottom in camera 4 from 28 second to 196 second, and also appear at camera 2",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the silver SUV that moving from right to top in camera 4 from 36 second to 174 second, and also appear at camera 5, 3, 1",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the gray van that moving from left to top in camera 4 from 23 second to 175 second, and also appear at camera 2, 3, 5",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the maroon hatchback that moving from left to right in camera 6 from 31 second to 201 second, and also appear at camera 7",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the blue hatchback that moving from top to bottom in camera 7 from 36 second to 193 second, and also appear at camera 9, 6",,,,,,,,,,,,,,,,,,,,,,,,
