ScenarioID,Query
Scenario 1,"Track all the brown SUV that appear in camera 3 from 54 second to 172 second, and also appear at camera 5"
Scenario 1,"Track all the gold sedan that appear in camera 2 from 53 second to 125 second, and also appear at camera 1, 3, 5"
Scenario 1,"Track all the grey minivan that appear in camera 2 from 41 second to 212 second, and also appear at camera 1, 3"
Scenario 1,"Track all the gray sedan that appear in camera 5 from 41 second to 192 second, and also appear at camera 1, 3"
Scenario 1,"Track all the red coupe that appear in camera 5 from 16 second to 197 second, and also appear at camera 2, 3"
Scenario 1,"Track all the blue van that appear in camera 4 from 18 second to 147 second, and also appear at camera 1, 2, 3"
Scenario 1,"Track all the maroon SUV that appear in camera 1 from 48 second to 156 second, and also appear at camera 3"
Scenario 1,"Track all the gray pickup that appear in camera 4 from 58 second to 133 second, and also appear at camera 2, 5, 1"
Scenario 1,"Track all the yellow sedan that appear in camera 1 from 18 second to 220 second, and also appear at camera 3"
Scenario 1,"Track all the purple minivan that appear in camera 1 from 43 second to 157 second, and also appear at camera 2"
Scenario 1,"Track all the grey minivan that appear in camera 2 from 57 second to 208 second, and also appear at camera 1"
Scenario 1,"Track all the grey SUV that appear in camera 4 from 41 second to 168 second, and also appear at camera 3"
Scenario 1,"Track all the red wagon that appear in camera 2 from 22 second to 190 second, and also appear at camera 4, 1, 3"
Scenario 1,"Track all the black minivan that appear in camera 1 from 39 second to 186 second, and also appear at camera 3"
Scenario 1,"Track all the blue SUV that appear in camera 3 from 52 second to 125 second, and also appear at camera 4, 1, 5"
Scenario 1,"Track all the tan wagon that appear in camera 3 from 42 second to 198 second, and also appear at camera 4, 2, 5"
Scenario 1,"Track all the gray wagon that appear in camera 4 from 16 second to 127 second, and also appear at camera 5, 3, 2"
Scenario 1,"Track all the blue coupe that appear in camera 1 from 60 second to 139 second, and also appear at camera 2"
Scenario 1,"Track all the brown pickup that appear in camera 3 from 51 second to 220 second, and also appear at camera 5"
Scenario 1,"Track all the purple jeep that appear in camera 5 from 29 second to 148 second, and also appear at camera 3, 1, 2"
Scenario 2,"Track all the black sedan that appear in camera 7 from 58 second to 190 second, and also appear at camera 6, 9, 8"
Scenario 2,"Track all the silver coupe that appear in camera 7 from 47 second to 193 second, and also appear at camera 8, 9, 6"
Scenario 2,"Track all the blue truck that appear in camera 7 from 52 second to 149 second, and also appear at camera 9, 8, 6"
Scenario 2,"Track all the silver coupe that appear in camera 6 from 32 second to 235 second, and also appear at camera 8"
